Step_Index,Current(A),Voltage(V),Temperature (C)_1,Discharge_Capacity(Ah)
16,-0.0004512229352258146,3.5635225772857666,51.93862533569336,1.29816525607629
16,-0.0002707690582610667,3.5632147789001465,51.96858596801758,1.29816535760153
16,-0.0004512229352258146,3.5629069805145264,51.96858596801758,1.298165463655006
16,-0.0002707690582610667,3.5632147789001465,51.93862533569336,1.298165558940667
16,-0.0004512229352258146,3.5625991821289062,51.908668518066406,1.298165666249671
16,-0.0004512229352258146,3.5625991821289062,51.93862533569336,1.298165770803269
16,-0.007849832065403461,3.5607526302337646,51.98185729980469,1.298166283127868
16,-0.010376187041401863,3.5598292350769043,51.93862533569336,1.298168472537361
16,-0.010376187041401863,3.5598292350769043,52.041778564453125,1.298171341772654
16,-0.3938407003879547,3.4755001068115234,52.041778564453125,1.298178594674044
16,-1.641137957572937,3.1948132514953613,51.93862533569336,1.298293215028726
16,-2.038677930831909,3.088940143585205,51.96858596801758,1.298750962973916
16,-2.0408434867858887,3.074474811553955,51.9985466003418,1.29932285769437
16,0.049714960157871246,3.530283212661743,52.011817932128906,1.299864191741651
16,-1.5178879499435425,3.1895811557769775,51.86543273925781,1.299883098389307
16,-1.9690227508544922,3.076629161834717,52.011817932128906,1.300314645020354
16,-1.3112683296203613,3.2154338359832764,52.041778564453125,1.300855155065839
16,-1.1766496896743774,3.2415943145751953,52.011817932128906,1.301220583532328
16,-1.2443199157714844,3.2225124835968018,51.908668518066406,1.301548678361795
16,-1.0665727853775024,3.257598400115967,51.908668518066406,1.301891600119046
16,-1.6268821954727173,3.128950357437134,52.041778564453125,1.302198715223345
16,-1.2495530843734741,3.2071239948272705,52.011817932128906,1.302643829116209
16,-0.49290987849235535,3.3711657524108887,52.02509307861328,1.302975415840703
16,0.08797118067741394,3.500429391860962,51.87871170043945,1.3031032661677
16,0.08742982149124146,3.503507137298584,52.041778564453125,1.3031032661677
16,0.3658701777458191,3.5666000843048096,51.98185729980469,1.3031032661677
16,0.13867872953414917,3.5195112228393555,52.041778564453125,1.3031032661677
16,0.08327938616275787,3.5087392330169678,51.908668518066406,1.3031032661677
16,-0.18487510085105896,3.4502627849578857,51.93862533569336,1.303107001679385
16,-0.6466566324234009,3.3474674224853516,51.98185729980469,1.303171044119022
16,0.011458734050393105,3.4899652004241943,51.92194366455078,1.303333587669164
16,-0.18830372393131256,3.4468774795532227,51.96858596801758,1.303340110750843
16,0.335193008184433,3.561983585357666,52.041778564453125,1.303386121866457
16,0.5856630206108093,3.620460033416748,51.951900482177734,1.303386121866457
16,0.5667153596878052,3.619844436645508,51.98185729980469,1.303386121866457
16,0.522684633731842,3.6130735874176025,51.908668518066406,1.303386121866457
16,0.3822914958000183,3.5844509601593018,51.951900482177734,1.303386121866457
16,0.2974781394004822,3.56752347946167,51.87871170043945,1.303386121866457
16,0.14752097427845,3.535207509994507,51.87871170043945,1.303386121866457
